Region	Name	Address	County	Postcode	Phone Number	Latitude	Longitude	Grid Ref	OS Map	Year	Email	Web	Notes
East Midlands	Abney Camping Barn	Ivy House Farm, Abney, Hathersage, Hope Valley	Derbyshire	S32 1AH	0800 0191 700	53.315165	-1.703540	SK 198 798	110		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/abney-camping-barn	
East Midlands	Alstonefield	Gypsy Lane, Alstonefield	Derbyshire	DE6 2FZ	01335 310206	53.099043	-1.798700	SK 136 558	119	2001	alstonefield@yha.org.uk	http://www.yha.org.uk/hostel/alstonefield	
East Midlands	Alstonefield Camping Barn	Gateham Grange, Alstonefield, Ashbourne	Derbyshire	DE6 2FT	0800 0191700	53.108830	-1.814500	SK 125 569	119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/alstonefield-camping-barn	
East Midlands	Birchover Camping Barn	Barn Farm, Birchover, Matlock	Derbyshire	DE4 2BL	0800 0191700	53.157040	-1.640020	SK 242 623	119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/birchover-camping-barn	
East Midlands	Bretton	Bretton, nr Eyam, Hope Valley, Sheffield	South Yorkshire	S32 5QD	0845 371 9626	53.298809	-1.700928	SK 200 780	119	1942	bretton@yha.org.uk	http://www.yha.org.uk/hostel/bretton	
East Midlands	Castleton Losehill Hall	Castleton, Hope Valley	Derbyshire	S33 8WB	0845 371 9628	53.351139	-1.770957	SK 153 838	110	1943	castleton@yha.org.uk	http://www.yha.org.uk/hostel/castleton-losehill-hall	
East Midlands	Crowden	Crowden-in-Longdendale, Glossop	Derbyshire	SK13 1HZ	0845 371 9113	53.492696	-1.896420	SK 070 996	110	2007	crowden@yha.org.uk	http://www.yha.org.uk/hostel/crowden	
East Midlands	Edale	Rowland Cote, Nether Booth, Edale, Hope Valley	Derbyshire	S33 7ZH	0845 371 9514	53.376148	-1.791024	SK 140 866	110	1945	edale@yha.org.uk	http://www.yha.org.uk/hostel/edale	
East Midlands	Edale Camping Barn	Cotefield Farm, Ollersbrook, Edale, Hope Valley	Derbyshire	S33 7ZG	0800 0191700	53.369640	-1.799040	SK 135 859	110		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/edale-camping-barn	
East Midlands	Eyam	Hawkhill Road, Eyam, Hope Valley	Derbyshire	S32 5QP	0845 371 9738	53.289222	-1.672672	SK 219 770	119	1970	eyam@yha.org.uk	http://www.yha.org.uk/hostel/eyam	
